iter	CatBoostEvalMetricCustom	Logloss
608	0.8083813223	0.2353865737
609	0.8083625924	0.2353448445
610	0.8085087568	0.2352867424
611	0.8084542888	0.2352500274
612	0.8086310945	0.2352031165
613	0.8087710196	0.2351662933
614	0.808747399	0.2351374201
615	0.8087231887	0.2351091114
616	0.8085444722	0.2350563803
617	0.8088524232	0.2350090659
618	0.8088334323	0.2349623461
619	0.8087483483	0.2349235203
620	0.8087256784	0.2348888234
621	0.8086412969	0.2348423992
622	0.808619678	0.2348027692
623	0.8087944341	0.234756247
624	0.8088046204	0.2347121818
625	0.8088162498	0.2346730883
626	0.8088976188	0.2346199295
627	0.8091077476	0.2345709798
628	0.8090936912	0.2345128558
629	0.8092042924	0.2344721411
630	0.8091261925	0.234415727
631	0.8091417223	0.2343649437
632	0.8091544055	0.234328812
633	0.8093260158	0.2342963898
634	0.8093400207	0.2342497263
635	0.8094787327	0.2342210307
636	0.8094631019	0.2341658252
637	0.8097706283	0.2341130912
638	0.8098887878	0.2340494459
639	0.8098689745	0.2340080589
640	0.8100182903	0.2339473482
641	0.8101638565	0.2338862565
642	0.8099487629	0.2338389705
643	0.8100587349	0.2337963757
644	0.8102679779	0.2337492813
645	0.8105121154	0.2336889203
646	0.8102939719	0.2336474385
647	0.8104720599	0.233589112
648	0.8105213572	0.2335274412
649	0.8106257007	0.2334983692
650	0.8107022651	0.2334572322
651	0.8106200264	0.233409861
652	0.8106696494	0.2333564653
653	0.8107500183	0.2333081293
654	0.8108647979	0.2332572796
655	0.8107774187	0.2332213227
656	0.8107953297	0.2331710751
657	0.8108109385	0.2331176527
658	0.8109243808	0.2330666015
659	0.8112697626	0.2330072659
660	0.8111577317	0.2329552179
661	0.8112032766	0.2329142517
662	0.8115456905	0.2328646886
663	0.8116596067	0.2328084727
664	0.8117012653	0.2327700184
665	0.8118436717	0.2327225889
666	0.8118538072	0.2326847453
667	0.8118347133	0.2326411158
668	0.8119529546	0.2325775343
669	0.8120976138	0.2325373846
670	0.8120141732	0.2324843404
671	0.8121237799	0.2324399591
672	0.812137332	0.2323912402
673	0.8121193088	0.2323430466
674	0.8121659949	0.2322906823
675	0.8121758144	0.2322555218
676	0.8122893597	0.2322035457
677	0.8123966614	0.2321759178
678	0.8124048643	0.2321488761
679	0.8125853674	0.2320864103
680	0.8124669688	0.2320437503
681	0.8126765333	0.2319900012
682	0.8126260857	0.231942147
683	0.8126373723	0.2318984079
684	0.8126826083	0.2318487613
685	0.8128564235	0.2318106403
686	0.8131297762	0.2317612383
687	0.8130472948	0.2317104441
688	0.8128034726	0.2316611337
689	0.8129129777	0.2316170029
690	0.8129922646	0.2315686736
691	0.8127195798	0.2314957701
692	0.8128647892	0.2314525517
693	0.8128145179	0.2313965187
694	0.8129279107	0.2313507756
695	0.8129771374	0.2312999921
696	0.8131862929	0.2312456665
697	0.8132630802	0.2312050268
698	0.8133028146	0.2311778316
699	0.8132844204	0.2311311917
700	0.813362782	0.2310851507
701	0.8133788097	0.2310303671
702	0.8134571106	0.2309820119
703	0.81343203	0.2309562816
704	0.8135429458	0.2309122074
705	0.8135611121	0.2308521361
706	0.8136086798	0.2307970873
707	0.8136901772	0.230741639
708	0.8138705111	0.2306878515
709	0.8137860929	0.2306402503
710	0.8138689515	0.2305788995
711	0.8139151905	0.2305340097
712	0.8141838824	0.2305008523
713	0.8139306441	0.2304800007
714	0.8140386286	0.2304444246
715	0.8142177704	0.2303932023
716	0.8141967566	0.2303565346
717	0.8142492053	0.2303000989
718	0.8142933381	0.2302529395
719	0.8143713188	0.2302132474
720	0.8143865749	0.2301637984
721	0.8143366337	0.2301165237
722	0.8144110524	0.2300841968
723	0.8144295855	0.230033092
724	0.8145746171	0.2299824316
725	0.8145825887	0.2299508449
726	0.8144285931	0.2299198799
727	0.8145683842	0.2298802928
728	0.8145140967	0.2298430647
729	0.8144617969	0.2297983344
730	0.8147681271	0.229744501
731	0.8148776378	0.2297025214
732	0.8148583409	0.2296548295
733	0.8148744039	0.2296071719
734	0.8148245826	0.2295485264
735	0.8148973255	0.2295263546
736	0.814878195	0.2294858027
737	0.8149846066	0.2294514845
738	0.8149351238	0.2294024691
739	0.8149481948	0.2293570144
740	0.8149891707	0.2293276809
741	0.8152668089	0.2292644132
742	0.8153790761	0.2292133171
743	0.8153277863	0.229168324
744	0.8152489246	0.2291140041
745	0.8152596879	0.2290791046
746	0.8152409763	0.2290283639
747	0.8152537554	0.2289792413
748	0.8152640827	0.2289513179
749	0.8153387596	0.2289194266
750	0.8153206687	0.2288735667
751	0.8157589637	0.2288183108
752	0.8156769662	0.228768749
753	0.8156933283	0.2287172651
754	0.8156407393	0.2286758935
755	0.8157500342	0.2286342544
756	0.8158869984	0.2286097363
757	0.8157389909	0.2285576679
758	0.8157823141	0.2285244618
759	0.8158945559	0.2284748144
760	0.8158737213	0.2284285343
